time,start,end,title,author,image,image_black,image_red,image_preview
00:00,00:00:00,00:01:59,Midnight's Children,Salman Rushdie,0000.png,0000_b.bmp,0000_r.bmp,0000_preview.bmp
00:04,00:02:00,00:05:29,Four Past Midnight,Stephen King,0004.png,0004_b.bmp,0004_r.bmp,0004_preview.bmp
00:07,00:05:30,00:08:59,Seven Minutes in Heaven,Sara Shepard,0007.png,0007_b.bmp,0007_r.bmp,0007_preview.bmp
00:11,00:09:00,00:12:59,11 Minutes,Paulo Coelho,0011.png,0011_b.bmp,0011_r.bmp,0011_preview.bmp
00:15,00:13:00,00:16:59,Writing Your Dissertation in Fifteen Minutes a Day,Joan Bolker,0015.png,0015_b.bmp,0015_r.bmp,0015_preview.bmp
00:19,00:17:00,00:20:59,Nineteen Minutes,Jodi Picoult,0019.png,0019_b.bmp,0019_r.bmp,0019_preview.bmp
00:23,00:21:00,00:24:59,23 Minutes in Hell,Bill Wiese,0023.png,0023_b.bmp,0023_r.bmp,0023_preview.bmp
00:27,00:25:00,00:28:29,Twenty-Seven Minutes,Ashley Tate,0027.png,0027_b.bmp,0027_r.bmp,0027_preview.bmp
00:30,00:28:30,00:31:59,Half Past Midnight,Jeff Brackett,0030.png,0030_b.bmp,0030_r.bmp,0030_preview.bmp
00:34,00:32:00,00:36:29,Rule 34,Charles Stross,0034.png,0034_b.bmp,0034_r.bmp,0034_preview.bmp
00:39,00:36:30,00:40:29,39 Steps,John Buchan,0039.png,0039_b.bmp,0039_r.bmp,0039_preview.bmp
00:42,00:40:30,00:43:59,"Elephants Can Remember (Hercule Poirot, #42)",Agatha Christie,0042.png,0042_b.bmp,0042_r.bmp,0042_preview.bmp
00:46,00:44:00,00:48:29,Alcatraz '46,Don Denevi,0046.png,0046_b.bmp,0046_r.bmp,0046_preview.bmp
00:51,00:48:30,00:51:29,Area 51: An Uncensored History of America's Top Secret Military Base,Annie Jacobsen,0051.png,0051_b.bmp,0051_r.bmp,0051_preview.bmp
00:52,00:51:30,00:53:59,52 Pickup,Elmore Leonard,0052.png,0052_b.bmp,0052_r.bmp,0052_preview.bmp
00:56,00:54:00,00:57:29,56 Days,Catherine Ryan Howard,0056.png,0056_b.bmp,0056_r.bmp,0056_preview.bmp
00:59,00:57:30,00:59:29,"59 Seconds: Think a Little, Change a Lot",Richard Wiseman,0059.png,0059_b.bmp,0059_r.bmp,0059_preview.bmp
01:00,00:59:30,01:01:29,One O'Clock Jump,Lise McClendon,0100.png,0100_b.bmp,0100_r.bmp,0100_preview.bmp
01:03,01:01:30,01:04:29,"The One (The Selection, #3)",Kiera Cass,0103.png,0103_b.bmp,0103_r.bmp,0103_preview.bmp
01:06,01:04:30,01:08:29,Slow Lightning Volume 106,Eduardo C. Corral,0106.png,0106_b.bmp,0106_r.bmp,0106_preview.bmp
01:11,01:08:30,01:12:29,"La damnation de Faust, H 111",Hector Berlioz,0111.png,0111_b.bmp,0111_r.bmp,0111_preview.bmp
01:14,01:12:30,01:15:29,The Wheel Of Time (Vol 1 of 14),Robert Jordan / Brandon Sanderson,0114.png,0114_b.bmp,0114_r.bmp,0114_preview.bmp
01:17,01:15:30,01:18:29,The 117-Storey Treehouse,"Andy Griffiths, Terry Denton",0117.png,0117_b.bmp,0117_r.bmp,0117_preview.bmp
01:20,01:18:30,01:21:29,The 120 Days of Sodom,Marquis de Sade,0120.png,0120_b.bmp,0120_r.bmp,0120_preview.bmp
